A18.417 A18.412
A18.418 A18.400x018
A18.419 A18.400x019
A18.420 A18.400x020
A18.421 A18.400x021
A18.422 A18.400x022
A18.501 A18.500
A18.502 A18.500x002
A18.503+H19.0* A18.500x003+H19.0*
A18.504+H19.2* A18.506+H19.2*
A18.505+H32.0* A18.500x005+H32.0*
A18.506+H22.0* A18.500x005+H32.0*
A18.508+H13.1* A18.500x008+H13.1*
A18.509+H32.0* A18.502+H32.0*
A18.510+H32.0* A18.500x010+H32.0*
A18.511+H48.8* A18.503+H48.8*
A18.512+H32.0* A18.501+H32.0*
A18.513+H22.0* A18.500x013+H22.0*
A18.601+H67.0* A18.601+H67.0*
A18.701+E35.1* A18.700+E35.1*
A18.702+E35.1* A18.700x002+E35.1*
A18.801 A18.800x001
A18.802 A18.811
A18.803+K93.8* A18.802+K93.8*
A18.805+E35.8* A18.801+E35.8*
A18.806+K93.8* A18.800x006+K93.8*
A18.807+K87.0* A18.816+K87.0*
A18.809+K93.8* A18.805+K93.8*
A18.810+M63.0* A18.800x010+M63.0*
A18.811+E35.0* A18.806+E35.0*
A18.812+M36.8* A18.819+M36.8*
A18.813+I79.8* A18.818+I79.8*
A18.814+K23.0* A18.800x014+K23.0*
A18.815+I32.0* A18.809+I32.0*
A18.816+I32.0* A18.800x002
A18.817+I41.0* A18.800x017+I41.0*
A18.818+I39.8* A18.800x018+I39.8*
A18.819+M63.0* A18.803+M63.0*
A18.820+D77* A18.813+D77*
A18.821+K93.8* A18.804+K93.8*
A18.822+M63.0* A18.800x022+M63.0*
A18.823+K93.8* A18.812+K93.8*
A18.824+M63.0* A18.810+M63.0*
A18.825+K93.8* A18.800x025+K93.8*
A18.827+M63.0* A18.800x027+M63.0*
A18.828+M63.0* A18.800x028+M63.0*
A18.829+K87.1* A18.817+K87.1*
A18.830+I32.0* A18.808+I32.0*
A18.831+I41.0* A18.800x031+I41.0*
A18.832+K23.0* A18.807+K23.0*
A18.833+K77.0* A18.814+K77.0*
A18.834+K93.8* A18.800x034+K93.8*
A19.001 A19.000x001
A19.002 A19.001
A19.201 A19.200x001
A19.801 A19.800x031
A19.802 A19.800x002
A19.803 A19.801
A19.804 A19.800x004
A19.810 A19.800x010
A19.811 A19.800x011
A19.812 A19.800x012
A19.813 A19.800x013
A19.814 A19.800x014
A19.815 A19.800x015
A19.816 A19.800x016
A19.817 A19.800x017
A19.818 A19.800x018
A19.819 A19.800x019
A19.820 A19.800x020
A19.821 A19.800x021
A19.822 A19.800x022
A19.823 A19.800x023
A19.824 A19.800x024
A19.825 A19.800x025
A19.826 A19.800x026
A19.827 A19.800x027
A19.828 A19.800x028
A19.829 A19.800x029
A19.901 A19.900
A19.902 A19.901
A19.903 A19.902
A19.904 A19.900x004
A19.905 A19.900x005
A20.001 A20.000
A20.101 A20.101
A20.201 A20.200
A20.301 A20.300
A20.701 A20.700
A20.801 A20.801
A20.802 A20.802
A20.803 A20.803
A20.804 A20.800x004
A20.805 A20.800x005
A20.901 A20.900
A20.902 A20.900x002
A21.001 A21.000
A21.101 A21.100
A21.201+J17.0* A21.200
A21.301 A21.300
A21.302 A21.300x002
A21.701 A21.700
A21.702 A21.700x002
A21.801 A21.800x001
A21.901 A21.900x001
A22.001 A22.000
A22.101 A22.100
A22.102+J17.0* A22.100x001
A22.103 A22.100x003
A22.201 A22.200x001
A22.701 A22.700
A22.801+G01* A22.801+G01*
A22.901 A22.900
A23.901 A23.900
A23.902+M01.3* A23.902+M01.3*
A23.903 A23.900x003
A23.904 A23.900x004
A23.905+G05.0* A23.900x005+G05.0*
A23.906 A23.900x006
A24.001 A24.000
A24.002 A24.000x002
A24.101 A24.101
A24.102 A24.100x002
A24.103 A24.100x003
A24.201 A24.201
A24.202 A24.202
A24.401 A24.400
A25.001 A25.000x001
A25.101 A25.100x001
A25.901 A25.900
A26.001 A26.000
A26.701 A26.700x001
A26.801 A26.800x001
A26.901 A26.900
A26.902 A26.900x002
A27.001 A27.000
A27.801 A27.800x001
A27.802 A27.800x002
A27.901 A27.900
A27.902 A27.900x002
A27.903 A27.900x003
A27.904 A27.900x004
A27.905 A27.900x005
A27.906 A27.900x006
A28.001 A28.000
A28.101 A28.100
A28.201 A28.200
A28.801 A28.801
A30.001 A30.000x001
A30.101 A30.100x001
A30.103 A30.100x003
A30.201 A30.200x001
A30.301 A30.300x001
A30.302 A30.300x002
A30.401 A30.400x001
